"-OR-","-YA DA-"
"Require Customer's Billing Address","Müşteri Fatura Adresi zorunlu olsun"
"Required PayPal Settings","Zorunlu PayPal Ayarları"
"Required Settings","Zorunlu Ayarlar"
"Reversal","Ödeme İptali"
"Reversal of General Account Hold","Hesapta Tutulanın İadesi"
"Reversal of Points Usage","Puan Kullanımı İadesi"
"Reversal of an adjustment.","Ücret Ayarlaması İadesi."
"Reversal of hold for Dispute Investigation","Araştırma nedeniyle tutulan ücretin iadesi"
"Review Order","Siparişi Yorumla"
"Reward Voucher Redemption","Ödül Çeki İadesi"
"SFTP Credentials","SFTP Bilgileri"
"Sale","Satış"
"Sales","Satışlar"
"Same as shipping","Teslimat adresi ile aynı"
"Sandbox Credentials","Sandbox Bilgileri"
"Sandbox Mode","Sandbox Modu"
"Schedule","Zamanlama"
"Schedule description is too long.","Zamanlama açıklaması çok uzun."
"Scheduled Fetching","Zamanlanmış Tahsilat"
"Select a Payment Solution","Bir Ödeme Yöntemi Seçin"
"Send Email Confirmation","E-posta Doğrulaması Gönderilsin"
"Server Error. Please try again.","Sunucu hatası. Lütfen tekrar deneyiniz."
"Settlement Consolidation","Anlaşma Konsolidasyonu"
"Settlement Report Settings","Anlaşma Raporu Ayarları"
"Settlement of a chargeback.","İade anlaşması."
"Severe 3D Secure Card Validation","3D Secure Kart Doğrulamasında sorun oluştu"
"Severe Validation Removes Chargeback Liability on Merchant","Tam Doğrulama Satıcının İade Zorunluluğunu Ortadan Kaldırır"
"Severe validation removes chargeback liability on merchant.","Tam doğrulama satıcının iade zorunluluğunu ortadan kaldırır."
"Shipping","Teslimat"
"Shipping Address","Teslimat Adresi"
"Shipping Method","Teslimat Yöntemi"
"Shop now using (150 X 40)","Hemen Al (150 X 40)"
"Shop now using (150 X 60)","Hemen Al using (150 X 60)"
"Shortcut","Kısayol"
"Shortcut Buttons Flavor","Kısayol Butonu Şekli"
"Shortcut on Product View","Ürün Detayındaki Kısayol Butonu"
"Shortcut on Shopping Cart","Sepetteki Kısayol Butonu"
"Sign a billing agreement to streamline further purchases with PayPal.","Ödeme anlaşması yaparsanız Paypal ile yapılacak ödemeleriniz daha hızlı gerçekleşecektir."
"Solo","Solo"
"Some PayPal solutions conflict.","Bazı PayPal yöntemleri çakışıyor."
"Sorry, no quotes are available for this order at this time.","Üzgünüz, bu sipariş için şu an bir fiyat yok."
"Sort Order","Sıralama"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Satıcının Paypal hesabındaki Güven Süresinin ne olduğunu belirtir. Paypal hesabındaki ayarla aynı olmalıdır."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Siparişin Geçerlilik Süresinin ne olduğunu belirtir. Paypal hesabındaki ayarla aynı olmalıdır."
"State/Province","Bölge/Şehir"
"Static","Statik"
"Street Address","Adres"
"Street Address %s","Adres %s"
"Submitting order information...","Sipariş bilgisi gönderiliyor..."
"Subscriber name is too long.","Abone adı çok uzun."
"Subscription ID","Abonelik No"
"Subscription Payment, either payment sent or payment received","Ödeme Aboneliği, ödeme gönderildi veya alındı"
"Subtotal","Ara Toplam"
"Summary Text for Aggregated Cart","Birleştirilmiş sepet için Özet Metni"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","American Express kartlarına destek vermek için ek anlaşma gerekmektedir. Daha fazla bilgi için <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Telephone","Telefon"
"Test Mode","Test Modu"
"The background color for the checkout page around the header and payment form.","Başlık ve ödeme formu arkasındaki alanı kaplayacak arka plan rengi."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Alışveriş sonu sayfası ve ödeme formu için arka plan rengi. 6 karakterli Hex renk kodu giriniz."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Alt doğrulama işlemi sayısı için varsayılan değer. Bu değer PayPal sisteminde varsayılan olarak 1 dir. Bu değeri artırarak aynı anda 1 den fazla doğrulama işlemi yapabilmek istiyorsanız PayPal ile iletişim kurun."
"The following error(s) occured:","Şu hatalar oluştu:"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Alışveriş sonu sayfasının sol üstünde yer alacak resim. İzin verilen en büyük boyut 750x90-piksel. <strong style=""color:red"">https</strong> tavsiye edilir."
"The maximum number of child authorizations is reached.","Alt doğrulama işlemi limiti aşıldı."
"The merchant account is not yet verified.","Satıcı hesabı doğrulanamadı."
"The payment curency does not match any of the merchant\'s balances currency.","Ödeme için kullandığınız para birimi satıcının kullandığı para birimleri arasında yok."
"The payment eCheck is not yet cleared.","Ödeme eCheck'i ödenmedi."
"The payment is authorized but not settled.","Ödeme işlemi doğrulandı fakat yapılmadı."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Henüz kaydedilmemiş veya onaylanmamış bir e-mail adresine yapıldığı için ödeme beklemeye alındı."
"The payment is pending while it is being reviewed by PayPal for risk.","Paypal tarafından risk değerlendirmesi yapılacağından ödeme beklemeye alındı."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Ödeme kredi kartıyla yapıldı. Bu paranın Satıcı hesabına geçmesi için satıcının Business veya Premier olması gerekmektedir."
"There is already another PayPal solution enabled. Enable this solution instead?","Kullanılan başka bir PayPal yöntemi var. Onun yerine bu yöntem kullanılsın mı?"
"There was an error processing your order. Please contact us or try again later.","Siparişiniz işlenirken hata oluştu. Lütfen bizimle irtibata geçiniz veya daha sonra tekrar deneyiniz."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Bu özelliğin öncelikle Paypal teknik servisi tarafından bu satıcı için açılması gerekmektedir."
"This operation requires an existing transaction object.","Bu işlem için varolan bir ödeme işlemi gerekiyor."
"Time of Day","Günün saati"
"Title","Başlık"
"Transaction ID","İşlem No"
"Transaction ID must not be empty.","İşlem No alanı boş olamaz."
"Transaction Information","İşlem Bilgisi"
"Transaction reversal by PayPal administrators.","Transaction reversal by PayPal administrators."
"Transaction reversal due to fraud detected by PayPal administrators.","Transaction reversal due to fraud detected by PayPal administrators."
"Transfer Cart Line Items","Sepetteki ürün bilgisini gönder"
"Transfer Shipping Options","Teslimat bilgilerini gönder"
"Triggered Fraud Filters","Tetiklenen Sahtekarlık Koruması"
"URL method for Cancel URL and Return URL","İptal ve Geri Dönüş İnternet adresleri için kullanılacak yöntem"
"Unable to cancel Express Checkout.","Ekspres Ödeme işlemi iptal edilemez."
"Unable to change status. Current status is not correspond to real status.","Durum değiştirilemiyor. Mevcut durum ile gerçek durum uyumlu değil."
"Unable to communicate with the PayPal gateway.","Paypal sunucusu ile iletişimde sorun var."
"Unable to initialize Express Checkout review.","Ekspres Ödeme  incelemesi açılamadı."
"Unable to initialize Express Checkout.","Ekspres Ödeme başlatılamadı."
"Unable to place the order.","Sipariş kaydedilemedi."
"Unable to process Express Checkout approval.","Hızlı ödeme onay işlemi yapılamadı."
"Unable to start Express Checkout.","Ekspres Ödeme işlemi başlatılamadı."
"Unable to update Order data.","Sipariş verisi güncellenemedi."
"Unable to update shipping method.","Teslimat yöntemi güncellenemedi."
"Unknown Error. Please try again later.","Bilinmeyen bir hata oluştu. Lütfen tekrar deneyiniz."
"Unknown reason. Please contact PayPal customer service.","Bilinmeyen sebep. Lütfen Paypal Müşteri Destek bölümüyle görüşünüz."
"Update Order Data","Sipariş Verisini Güncelle"
"Use Proxy","Vekil Sunucu Kullan"
"Use colon to specify port. For example: ""test.example.com:5224"".","Port belirtmek için iki nokta kullanın. Örnek: ""test.example.com:5224""."
"User","Kullanıcı"
"User-initiated Currency Conversion","Kullanıcı tarafından başlatılan Döviz Çevrimi"
"Uses store frontend name by default.","Varsayılan olarak mağaza adını kullanır."
"VAT Number","Vergi Numarası"
"Vendor","Satıcı"
"View","Göster"
"View Demo","Demo Göster"
"View Transaction","İşlemi Göster"
"View Transaction Details","İşlem Sonucunu Göster"
"Virtual PayPal Debit Card Transaction","Sanal Paypal Ödeme Kartı İşlemi"
"Virtual Terminal Payment","Sanal Terminal Ödemesi"
"Void","İptal"
"We prefer PayPal (150 X 40)","Paypal Kullanıyoruz (150 X 40)"
"We prefer PayPal (150 X 60)","Paypal Kullanıyoruz (150 X 60)"
"Website Payments Plus","Website Payments Plus"
"Website Payments Pro (Includes Express Checkout)","Website Payments Pro (Hızlı Ödeme ile)"
"Website Payments Pro Hosted Solution","Website Payments Pro Barındırılan Çözüm"
"Website Payments Pro Hosted Solution (Includes Express Checkout)","Website Payments Pro Barındırılan Çözümü (Hızlı Ödeme ile)"
"Website Payments Pro Hosted Solution and Express Checkout","Website Payments Pro Barındırılan Çözümü ve Hızlı Ödeme"
"Website Payments Pro Payflow Edition (Includes Express Checkout)","Website Payments Pro Payflow Sürümü (Hızlı Ödeme ile)"
"Website Payments Pro Payflow Edition and Express Checkout","Website Payments Pro Payflow Sürümü ve Hızlı Ödeme"
"Website Payments Pro and Express Checkout","Website Payments Pro ve Hızlı Ödeme"
"Website Payments Standard","Website Payments Standart"
"Website Payments Standard Payment","Website Payments Standard Ödemesi"
"What is PayPal?","Paypal Nedir?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Eğer aktif ödeme sözleşmes yoksa, yeni sözleşme oluşturunuz."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Sadece, en az bir ödeme sözleşmesi olan müşteriler için bir ödeme seçeneği olarak görünecektir."
"WorldLink Withdrawal","WorldLink Ödeme Alma"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","PayPal ile ödemeleri daha kolaylaştırmak için bir ödeme sözleşmesi imzalamak ister misiniz?"
"Wrong PayPal Express Checkout Token specified.","Hatalı PayPal Express Checkout anahtar verisi."
"Yes","Evet"
"Yes. Matched Address and five-didgit ZIP","Evet. Adres ve 5 haneli posta kodu eşleşti"
"You cannot void a verification transaction","Onaylama işlemini iptal edemezsiniz"
"You will be redirected to the PayPal website in a few seconds.","Birkaç saniye içinde PayPal sistemine yönlendirileceksiniz."
"You will be redirected to the PayPal website when you place an order.","Siparişinizi tamamlamak için PayPal sitesine yönlendirileceksiniz."
"You will be redirected to the PayPal website.","PayPal sistemine yönlendirileceksiniz."
"You will be required to enter your payment details after you place an order.","Siparişiniz kaydedildikten sonra ödeme detaylarını girmeniz gerekecektir."
"Zip/Postal Code","Posta Kodu"
"eBay Auction Payment","eBay Açık Artırma Ödemesi"
