"-OR-","-或-"
"Website Payments Pro Hosted Solution","網站支付專業版託管解決方案"
"Website Payments Pro Hosted Solution (Includes Express Checkout)","網站付款專業的託管解決方案（包括快速結帳）"
"Website Payments Pro Hosted Solution and Express Checkout","網站付款專業託管解決方案和快速結帳"
"Website Payments Pro Payflow Edition (Includes Express Checkout)","網站付款專業，Payflow版（包括快速結帳）"
"Website Payments Pro Payflow Edition and Express Checkout","網站付款專業版Payflow和快速結帳"
"Website Payments Pro and Express Checkout","網站付款專業版和快速結帳"
"Website Payments Standard","網站支付標準版"
"Website Payments Standard Payment","網站支付標準版付款"
"What is PayPal?","什麼是PayPal？"
"Whether to create a billing agreement, if there are no active billing agreements available.","無論是否建立記賬協議，如果沒有活躍的記賬協議可用。"
"Will appear as a payment option only for customers who have at least one active billing agreement.","只有在客戶至少有一個活躍記賬協議時才能出現付款選項。"
"WorldLink Withdrawal","WorldLink撤銷"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","您是否想要通過PayPal簽署記賬協議並簡化後續的付款？"
"Wrong PayPal Express Checkout Token specified.","所指定的PayPal快速結賬Token有誤。"
"Yes","是"
"Yes. Matched Address and five-didgit ZIP","是的，匹配地址與五位郵編"
"You cannot void a verification transaction","你不能使核查交易無效化"
"You will be redirected to the PayPal website in a few seconds.","幾秒鐘後，您將被重定向到PayPal網站。"
"You will be redirected to the PayPal website when you place an order.","在您下單時，您會被重定向到PayPal網站。"
"You will be redirected to the PayPal website.","您將被重定向到PayPal網站。"
"You will be required to enter your payment details after you place an order.","下單後，您需要輸入付款詳情。"
"Zip/Postal Code","郵編/郵編"
"eBay Auction Payment","eBay拍賣付款"
