"# of Use","מס' שימושים"
"%1$s incl tax.","%1$s כולל מע""מ."
"%s - %s","%s% - s"
"%s Item(s)","%s פריט(ים)"
"%s and above","%s  ומעלה"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Properties","מאפיינים"
"Qty","כמות"
"Qty Increments","Qty Increments"
"Qty Uses Decimals","שימוש במספר עשרוניים בכמות"
"Qty for Item\'s Status to Become Out of Stock","Qty for Item\'s Status to become Out of Stock"
"Qty:","כמות:"
"Quantity","כמות"
"Quick Create","יצירה מהירה"
"Quick Overview","סקירה מהירה"
"Quick simple product creation","יצירה מהירה של מוצר פשוט"
"Records for ""","רשומות עבור """
"Redirect","הפניה"
"Redirect URL","כתובת URL להפניה"
"Regular Price:","מחיר רגיל:"
"Related Products","מוצרים נלווים"
"Remove","הסר"
"Remove Product From Websites","הסר מוצר מאתרים"
"Remove This Item","הסר פריט זה"
"Remove attribute from attribute set","הסר תכונה מסט התכונות"
"Remove attribute set","הסר סט תכונות"
"Remove custom option","הסר אופציות מותאמות אישית"
"Remove group from attribute set","הסר קבוצה מסט התכונות"
"Remove option","הסר אופציה"
"Remove product assignment","Remove product assignment"
"Remove product image","הסר תמונת המוצר"
"Remove product link","Remove product link"
"Remove value from custom option","הסר ערך מאופציות מותאמות אישית"
"Rename existing group","שנה שם לקבוצה קיימת"
"Rename group","שנה שם לקבוצה"
"Reorganize EAV category structure to flat structure","Reorganize EAV category structure to flat structure"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"Reset","איפוס"
"Results","תוצאות"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve list of option values","Retrieve list of option values"
"Retrieve list of product custom options","Retrieve list of product custom options"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve option value info","Retrieve option value info"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Reviews","סקירות"
"Roll Over for preview","Roll Over for preview"
"Root","קטגוריית השורש"
"SKU","מק""ט"
"SKU length should be %s characters maximum.","SKU length should be %s characters maximum."
"Save","שמור"
"Save Attribute","שמור תכונה"
"Save Attribute Set","שמור סט תכונות"
"Save Category","שמור קטגוריה"
"Save Search","שמור חיפוש"
"Save and Continue Edit","שמור והמשך בעריכה"
"Saved %d record(s)","נשמרו %d רשומות"
"Scope","טווח"
"Scope must not be changed, because the attribute is used in configurable products.","הטווח אינו ניתן לשינוי מכיוון שנעשה שימוש בתכונה במוצרים מורכבים"
"Search","חיפוש"
"Search Engine Optimizations","אופטימיזציה למנועי חיפוש"
"Search Information","פרטי חיפוש"
"Search Query","שאילתת חיפוש"
"Search Term with such search query already exists.","מונח החיפוש עם שאילתת חיפוש זו כבר קיים."
"Searchable","ניתן לחיפוש"
"See price before order confirmation.","הצג מחיר לפני אישור ההזמנה."
"Select Category...","בחר קטגוריה..."
"Select Configurable Attributes ","בחר תכונות מורכבות "
"Select Product...","בחר מוצר..."
"Select type of option","בחר סוג אופציה"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","סוגי המוצרים שנבחרו"
"Selected configuration is not available.","הקונפיגורציה שנבחרה איננה זמינה"
"Send Count","Send Count"
"Set Ascending Direction","קבע סדר עולה"
"Set Descending Direction","קבע סדר יורד"
"Set Name","קבע שם"
"Set Root Category for Store","הגדירי נתיב קטגוריה לחנות."
"Set root category for this store in the <a href=""%s"">configuration</a>","Set root category for this store in the <a href=""%s"">configuration</a>"
"Set special price","קבע מחיר מבצע"
"Set/Get current store view","קבע/קבל תצוגת חנות נוכחית"
"Settings","הגדרות"
"Shop By","קנה לפי"
"Shopping Options","אפשרויות קניה"
"Show","הצג"
"Show Details","הצג פרטים"
"Show Tags","הצג תגיות"
"Simple Product","מוצר פשוט"
"Site Map","מפת אתר"
"Sitemap","מפת אתר"
"Skip import row, is not valid value ""%s"" for field ""%s""","דלגי על שורת ייבוא, אינו תקף ערך ""%s"" לשדה ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Skip import row, required field ""%s"" for the new customer is not defined."
"Skip import row, the value ""%s"" is invalid for field ""%s""","דלגי על שורת ייבוא, ערך ""%s"" אינו תקף לשדה ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","מדלג על שורת ייבוא, שדה נדרש ""%s"" למוצר חדש אינו מוגדר."
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, store ""%s"" field does not exist.","מדלג על שורת ייבוא, חנות ""%s"" שדה אינו קיים."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Skipping import row, the value ""%s"" is not valid for the ""%s"" field."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Some of the products below do not have all the required options. Please edit them and configure all the required options."
"Sort By","מיון לפי"
"Sort Order","סדר המיון"
"Source Model","מודל מקור"
"Special Expires On: %s","המבצע יגמר ב: %s"
"Special Price:","מחיר מבצע:"
"Special Price: %s","מחיר מבצע: %s"
"Starting at:","מתחיל ב:"
"Static","סטטי"
"Static block and products","בלוק סטטי ומוצרים"
"Static block only","בלוק סטטי בלבד"
"Status","סטטוס"
"Stock Availability","ניהול מלאי"
"Store","חנות"
"Store View","תצוגת חנות"
"Stretch","Stretch"
"Subscribe to RSS Feed","הירשם להזנת RSS"
"Super product attributes configuration","הגדרות תכונות של מוצר העל"
"Synonym For","מילה נרדפת עבור"
"System Properties","מאפייני המערכת"
"Tag Name","שם התגית"
"Tax","מע""מ"
"Template","תבנית"
"Text","טקסט"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module"
"The attribute model is not defined","מודל התכונה לא הוגדר"
"The attribute set has been saved.","התכונה נשמרה."
"The base directory to upload file is not specified.","קטגוריית שורש להעלאת קבצים לא הוגדרה."
"The category has been deleted.","הקטגוריה נמחקה."
"The category has been saved.","הקטגוריה נשמרה."
"The comparison list was cleared.","רשימת ההשוואה רוקנה."
"The file '%s' for '%s' has an invalid extension","לתיקייה ""%s"" ל ""%s"" יש שלוחה שאינה בתוקף."
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","התיקייה ""%s"" שהעילית גדול מ""%s"" מגה בייטס המותרים לפי השרת"
"The file you uploaded is larger than %s Megabytes allowed by server","הקובץ שניסית להעלות כבד מ- %s מ""ב המורשים בשרת זה"
"The filters must be an array.","The filters must be an array."
"The image contents is not valid base64 data.","The image contents is not valid base64 data."
"The image is not specified.","התמונה לא צוינה."
"The model collection resource name is not defined.","The model collection resource name is not defined."
"The product %s has been added to comparison list.","המוצר %s נוסף לרשימת ההשוואה."
"The product %s has been removed from comparison list.","המוצר %s הוסר מרשימת ההשוואה."
"The product attribute has been deleted.","תכונת המוצר נמחקה."
"The product attribute has been saved.","תכונת המוצר נשמרה."
"The product has been created.","המוצר נוצר."
"The product has been deleted.","המוצר נמחק."
"The product has been duplicated.","המוצר שוכפל."
"The product has been saved.","המוצר נשמר."
"The product has required options","למוצר קיימות אופיצות חובה"
"The review has been deleted","הסקירה נמחקה"
"The review has been saved.","הסקירה נשמרה."
"The review was removed by another user or does not exist.","הסקירה הועברה על ידי משתמש אחר או לא קיימת."
"The search was deleted.","החיפוש נמחק."
"The text is too long","הטקסט ארוך מדי"
"There are no %s available.","לא נמצאו %s."
"There are no customers for this alert","אין לקוחות הרשומים להתראה זו"
"There are no customers for this alert.","אין לקוחות הרשומים להתראה זו."
"There are no products matching the selection.","לא נמצאו מוצרים תואמים את הבחירה."
"There was an error while request processing.","התרחשה שגיאה במהלך עיבוד הפניה."
"This Attribute no longer exists","תכונה זו לא קיימת יותר"
"This attribute cannot be deleted.","לא ניתן למחוק תכונה זו."
"This attribute cannot be edited.","לא ניתן לערוך תכונה זו."
"This attribute cannot be updated.","לא ניתן לעדכן תכונה זו."
"This attribute is used in configurable products.","תכונה זו בשימוש במוצרים מורכבים."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","תכונה זו בשימוש במוצרים מורכבים. אין באפשרותך להסירה מסט התכונות."
"This attribute no longer exists","תכונה זו אינה קיימת עוד"
"This attribute set no longer exists.","תכונה זו לא קיימת יותר."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","This group contains system attributes. Please move system attributes to another group and try again."
"This is a required option","אופציה זו הינה חובה"
"This product no longer exists.","מוצר זה לא קיים יותר."
"This search no longer exists.","חיפוש זה כבר אינו קיים"
"This setting will be applied when all prices in the specific price interval are equal.","This setting will be applied when all prices in the specific price interval are equal."
"Tier Pricing","תמחור לכמויות"
"Tile","כותרת"
"Time Format","פורמט זמן"
"Title","כותרת"
"To reindex the enabled product(s), the store or product must be specified","To reindex the enabled product(s), the store or product must be specified"
"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your cart. You can always remove it later."
"Top/Left","עליון\שמאל"
"Top/Right","עליון\ימין"
"Total Qty Base Items","סה""כ כמות פריטי בסיס"
"Total incl. Tax: %1$s","סה""כ כולל מע""מ: %1$s"
"Total of %d record(s) have been deleted.","סה""כ %d רשומות נמחקו."
"Total of %d record(s) have been updated.","סה""כ %d רשומות עודכנו."
"Total of %d record(s) were updated","סכום של d% רשמים עודכנו()"
"Type","סוג"
"URL Rewrite Management","ניהול שכתובי URL"
"Unable to complete this request.","Unable to complete this request."
"Unable to find a search term to delete.","Unable to find a search term to delete."
"Unable to find an attribute to delete.","Unable to find an attribute to delete."
"Unable to get the product ID.","לא ניתן לקבל מזהה מוצר."
"Unassigned Attributes","תכונות שאינן מוגדרות"
"Unknown EAV indexer type ""%s"".","סוג מאנדקס EAV לא ידוע ""%s""."
"Unknown attribute: %s.","תכונה לא ידועה: %s."
"Unsupported product type ""%s"".","סוג מוצר לא נתמך ""%s""."
"Up-sells","הגדלות"
"Update","עדכן"
"Update Attributes","עדכן תכונות"
"Update Tier Price","עדכן מחיר לכמות"
"Update assigned product","עדכן מוצר משויך"
"Update attribute","עדכון תכונה"
"Update attributes","עדכן תכונות"
"Update category","עדכן קטגוריה"
"Update custom option of product","עדכן אופציה מותאמת אישית של מוצר"
"Update product","עדכן מוצר"
"Update product image","עדכן תמונת מוצר"
"Update product link","עדכן קישור מוצר"
"Update product tier prices","עדכן מחירי כמות של מוצר"
"Update value of custom option","עדכן ערך אופציה מותאמת אישית"
"Upload new product image ","טען תמונת מוצר חדשה "
"Use Canonical Link Meta Tag For Categories","השתמש ב- Canonical Link Meta Tag עבור קטגוריות"
"Use Canonical Link Meta Tag For Products","השתמש ב- Canonical Link Meta Tag עבור מוצרים"
"Use Categories Path for Product URLs","השתמש בנתיב מלא של קטגוריות עבור כתובות URL של מוצרים"
"Use Config Settings","השתמש בהגדרות ברירת מחדל"
"Use Default Value","השתמש בערך ברירת מחדל"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","השתמש בסינון הרב-שכבתי"
"Use In Search Results Layered Navigation","השתמש במסנן רב שכבתי בתוצאות חיפוש"
"Use JavaScript Calendar","השתמש בתאריכון JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"Use To Create Configurable Product","עשה שימוש לשם יצירת מוצרים מורכבים"
"Use Tree Like Category Sitemap","הצג מפת אתר של קטגוריות בצורת עץ"
"Use config","Use config"
"Use default","השתמהש בברירת מחדל"
"Use for Promo Rule Conditions","השתמש עבור תנאי כללי מבצעים"
"Use four-digit year format.","השתמש בפורמט 4 ספרות לצורך ציון השנה."
"Use in Advanced Search","עשה שימוש בחיפוש מתקדם"
"Use in Layered Navigation","עשה שימוש בסינון הרב-שכבתי"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","עשה שימוש בסינון הרב שכבתי<br/>(אפשרי רק עבור סוג השדה 'Dropdown')"
"Use in Quick Search","עשה שימוש בחיפוש המהיר"
"Used for Sorting in Product Listing","בשימוש עבור מיון המוצרים בדף קטגוריה"
"Used in Product Listing","בשימוש בדף קטגוריה"
"Value for ""%s"" is invalid.","ערך עבור ""%s"" הנו שגוי."
"Value for ""%s"" is invalid: %s","ערך עבור ""%s"" הנו שגוי: %s"
"Varchar","Varchar"
"View as","הצג כ"
"Virtual Product","מוצר וירטואלי"
"Visibility","מוצג ב"
"Visible","מוצג"
"Visible on Catalog Pages on Front-end","מוצג בדפי הקטלוג באתר"
"Visible on Product View Page on Front-end","נראה בעמוד המוצר"
"WYSIWYG Editor","עורך ויזואלי"
"Watermark","סימן מים"
"Watermark Default Size","גודל של סימן מים"
"Watermark Opacity, Percent","אטימות של סימן המים באחוזים"
"Watermark Position","מיקום של סימן מים"
"We Also Recommend","אנו ממליצים גם"
"Website","אתר"
"Websites","אתרים"
"What's this?","מה זה?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Whether to show ""All"" option in the ""Show X Per Page"" dropdown."
"Will make search for the query above return results for this search.","Will make search for the query above return results for this search."
"Wrong BuyRequest instance in options group.","דוגמת בקשת קניה מוטעה באפשרויות קבוצות."
"Wrong configuration item instance in options group.","Wrong configuration item instance in options group."
"Wrong configuration item option instance in options group.","Wrong configuration item option instance in options group."
"Wrong option instance type in options group.","סוג דוגמת מוצר מוטעה באפשרויות קבוצות."
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group.","סוג דוגמת מוצר מוטעה באפשרויות קבוצות."
"Wrong product type filter specified","Wrong product type filter specified"
"Wrong product type to extract configurable options.","Wrong product type to extract configurable options."
"Year Range","טווח שנים"
"Yes","כן"
"You cannot remove system attribute from this set.","אין אפשרות למחוק תכונות מערכת מהסט הזה."
"You have no items to compare.","אין לך מוצרים להשוואה."
"You may also be interested in the following product(s)","הינך עשוי להתעניין גם במוצרים הבאים"
"Zoom In","הגדל"
"Zoom Out","הקטן"
"and","ו"
"and above","ומעל"
"categories","קטגוריות"
"each","כל אחד"
"ex. http://domain.com","לדוגמא http://domain.com"
"leave blank if its not an image","השאר ריק עם זאת לא תמונה"
"per page","לדף"
"products","מוצרים"
"px.","px."
"save","חסוך"
"select all","בחר הכל"
"unselect all","נקה הכל"
"x","x"
