"# of Use","Antal användningar"
"%1$s incl tax.","%1$s inkl. moms."
"%s - %s","%s - %s"
"%s Item(s)","%s artiklar"
"%s and above","%s och fler"
"Remove product assignment","Ta bort produktkoppling"
"Remove product image","Ta bort produktbild"
"Remove product link","Ta bort produktlänk"
"Remove value from custom option","Ta bort värde från anpassat alternativ"
"Rename existing group","Ändra namn på befintlig grupp"
"Rename group","Ändra namn på grupp"
"Reorganize EAV category structure to flat structure","Ändra EAV kategoristruktur till 'flat' struktur"
"Reorganize EAV product structure to flat structure","Ändra EAV produktstruktur till 'flat' struktur"
"Reset","Återställ"
"Results","Resultat"
"Retrieve attribute data","Hämta attributdata"
"Retrieve attribute list","Hämta attributlista"
"Retrieve attribute options","Hämta attributalternativ"
"Retrieve categories tree","Hämta kategoriträd"
"Retrieve category attributes","Hämta kategoriattribut"
"Retrieve category data","Hämta kategoridata"
"Retrieve hierarchical tree","Hämta hierarkiskt träd"
"Retrieve linked products","Hämta länkade produkter"
"Retrieve list of assigned products","Hämta lista på tilldelade produkter"
"Retrieve list of option values","Hämta lista på värden för alternativ"
"Retrieve list of product custom options","Hämta lista på anpassade alternativ för produkt"
"Retrieve one level of categories by website/store view/parent category","Hämta en nivå kategorier efter webbplats/butiksvy/överordnad kategori"
"Retrieve option value info","Hämta info på värden för alternativ"
"Retrieve product","Hämta produkt"
"Retrieve product attribute sets","Hämta attributmängder för produkt"
"Retrieve product image","Hämta produktbild"
"Retrieve product image list","Hämta lista på produktbilder"
"Retrieve product image types","Hämta typer av produktbilder"
"Retrieve product link type attributes","Hämta attribut för typer av produktlänk"
"Retrieve product link types","Hämta typer av produktlänk"
"Retrieve product tier prices","Hämta priser för mängdrabatt"
"Retrieve product types","Hämta produkttyper"
"Retrieve products data","Hämta produktdata"
"Retrieve products list by filters","Hämta lista på produkter efter filter"
"Reviews","Recensioner"
"Roll Over for preview","Dra muspekaren över bilden för förhandsgranskning"
"Root","Rot"
"SKU","Art. nr."
"SKU length should be %s characters maximum.","Art. nr. kan max vara %s tecken långt."
"Save","Spara"
"Save Attribute","Spara attribut"
"Save Attribute Set","Spara attributmängd"
"Save Category","Spara kategori"
"Save Search","Spara sökning"
"Save and Continue Edit","Spara och fortsätt ändra"
"Saved %d record(s)","Sparat %d post(er)"
"Scope","Omfång"
"Scope must not be changed, because the attribute is used in configurable products.","Omfång får inte ändras eftersom attributet används i konfigurerbara produkter."
"Search","Sök"
"Search Engine Optimizations","Sökmotoroptimering"
"Search Information","Information om sökning"
"Search Query","Sökfras"
"Search Term with such search query already exists.","Sökning med samma sökfras finns redan."
"Search Weight","Search Weight"
"Searchable","Sökbar"
"See price before order confirmation.","Se pris innan orderbekräftelse."
"Select Category...","Välj kategori..."
"Select Configurable Attributes ","Välj konfigurerbara attribut"
"Select Product...","Välj produkt..."
"Select type of option","Välj typ av alternativ"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Markerade produkttyper"
"Send Count","Antal sändningar"
"Set Ascending Direction","Stigande sorteringsriktning"
"Set Descending Direction","Fallande sorteringsriktning"
"Set Name","Välj namn"
"Set Root Category for Store","Välj rotkategori för butik"
"Set root category for this store in the <a href=""%s"">configuration</a>","Välj rotkategori för butiken i <a href=""%s"">inställningar</a>."
"Set special price","Ange specialpris"
"Set/Get current store view","Ange/Hämta nuvarande butiksvy"
"Settings","Inställningar"
"Shop By","Handla efter"
"Shopping Options","Navigeringsalternativ"
"Show","Visa"
"Show Details","Visa detaljer"
"Show Tags","Visa etiketter"
"Simple Product","Enkel produkt"
"Site Map","Sajtkarta"
"Sitemap","Sajtkarta"
"Skip import row, is not valid value ""%s"" for field ""%s""","Skip import row, is not valid value ""%s"" for field ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Skip import row, required field ""%s"" for the new customer is not defined."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Skip import row, the value ""%s"" is invalid for field ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Skipping import row, required field ""%s"" for new products is not defined."
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, store ""%s"" field does not exist.","Skipping import row, store ""%s"" field does not exist."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Skipping import row, the value ""%s"" is not valid for the ""%s"" field."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products."
"Some of the selected item options are not currently available.","Några av de markerade alternativen är för tillfället inte tillgängliga."
"Sort By","Sortera efter"
"Sort Order","Sortering"
"Source Model","Source Model"
"Special Expires On: %s","Specialpris går ut den: %s"
"Special Price:","Specialpris:"
"Special Price: %s","Specialpris: %s"
"Starting at:","Börjar på:"
"Static","Statisk"
"Static block and products","Statiska block och produkter"
"Static block only","Endast statiskt block"
"Status","Status"
"Stock Availability","Lagerstatus"
"Store","Butik"
"Store View","Butiksvy"
"Stretch","Tänj"
"Subscribe to RSS Feed","Prenumerera på RSS"
"Super product attributes configuration","Konfiguration av superattribut för produkt"
"Synonym For","Synonym för"
"System Properties","Systemegenskaper"
"Tag Name","Etikettnamn"
"Tax","Moms"
"Template","Mall"
"Text","Text"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module"
"The From Date value should be less than or equal to the To Date value.","Värde för Från datum ska vara mindre än eller lika med värdet för Till datum."
"The attribute code \'%s\' is reserved by system. Please try another attribute code","Attributkoden \'%s'\ används av systemet. Prova en annan kod."
"The attribute model is not defined","The attribute model is not defined"
"The attribute set has been saved.","Attributmängden har sparats."
"The base directory to upload file is not specified.","The base directory to upload file is not specified."
"The category has been deleted.","Kategorin har tagits bort."
"The category has been saved.","Kategorin har sparats."
"The comparison list was cleared.","Jämförelselistan har rensats."
"The file '%s' for '%s' has an invalid extension","Filen '%s' för '%s' har ett ogiltigt filformat"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Filen, '%s', du laddade upp är större än de %s Mb tillåtna av servern"
"The file you uploaded is larger than %s Megabytes allowed by server","Filen du laddade upp är större än de %s Mb tillåtna av servern"
"The filters must be an array.","The filters must be an array."
"The image contents is not valid base64 data.","Bildinnehållet är inte giltig base64 data."
"The image is not specified.","Bilden har inte angetts."
"The model collection resource name is not defined.","The model collection resource name is not defined."
"The product %s has been added to comparison list.","Produkten %s har lagts till jämförelselistan."
"The product %s has been removed from comparison list.","Produkten %s har tagits bort från jämförelselistan."
"The product attribute has been deleted.","Produktattributet har tagits bort."
"The product attribute has been saved.","Produktattributet har sparats."
"The product has been created.","Produkten har sparats."
"The product has been deleted.","Produkten har tagits bort."
"The product has been duplicated.","Produkten har duplicerats."
"The product has been saved.","Produkten har sparats."
"The product has required options","Produkten har obligatoriska alternativ"
"The review has been deleted","Recensionen har tagits bort"
"The review has been saved.","Recensionen har sparats."
"The review was removed by another user or does not exist.","Recensionen har tagits bort av en annan användare eller finns inte."
"The search was deleted.","Sökningen har tagits bort."
"The text is too long","Texten är för lång"
"There are no %s available.","Det finns inga %s tillgängliga."
"There are no customers for this alert","Inga kunder prenumererar på denna bevakning."
"There are no customers for this alert.","Det finns inga kunder för bevakningen."
"There are no products matching the selection.","Det finns inga produkter som matchar valet."
"There was an error while request processing.","Ett fel uppstod när förfrågan kördes."
"This Attribute no longer exists","Attributet finns inte längre"
"This attribute cannot be deleted.","Attributet kan inte tas bort."
"This attribute cannot be edited.","Attributet kan inte redigeras."
"This attribute cannot be updated.","Attributet kan inte uppdateras."
"This attribute is used in configurable products.","Detta attribut används i konfigurerbara produkter."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Detta attribut används i konfigurerbara produkter. Du kan inte ta bort det från attributmängden."
"This attribute no longer exists","Attributet finns inte längre"
"This attribute set no longer exists.","Attributmängden finns inte längre."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Gruppen innehåller attribut som används i konfigurerbara produkter. Flytta dem till en annan grupp och försök igen."
"This group contains system attributes. Please move system attributes to another group and try again.","Gruppen innehåller systemattribut. Vänligen flytta systemattributen till en annan grupp och försök igen."
"This is a required option","Detta är ett obligatoriskt alternativ"
"This product no longer exists.","Produkten finns inte längre."
"This search no longer exists.","Sökningen finns inte längre."
"This setting will be applied when all prices in the specific price interval are equal.","Den här inställningen tillämpas när alla priser i ett specifikt prisintervall är de samma."
"Tier Pricing","Prissättning för mängdrabatt"
"Tile","Titel"
"Time Format","Tidsformat"
"Title","Titel"
"To reindex the enabled product(s), the store or product must be specified","För att omindexera de aktiverade produkterna måste butik eller produkt anges"
"To see product price, add this item to your cart. You can always remove it later.","Lägg produkten i varukorgen för att se priset. Du kan enkelt ta bort den efteråt."
"Top/Left","Överst/vänster"
"Top/Right","Överst/höger"
"Total Qty Base Items","Total Qty Base Items"
"Total Qty Content Items","Total Qty Content Items"
"Total incl. Tax: %1$s","Totalt inkl. moms: %1$s"
"Total of %d record(s) have been deleted.","Totalt %d post(er) har tagits bort."
"Total of %d record(s) have been updated.","Totalt %d post(er) har uppdaterats."
"Total of %d record(s) were updated","Totalt %d post(er) har uppdaterats"
"Type","Typ"
"URL Rewrite Management","Hantera URL rewrites"
"Unable to complete this request.","Det gick inte att slutföra förfrågan."
"Unable to find a search term to delete.","Det gick inte att hitta en sökfras att ta bort."
"Unable to find an attribute to delete.","Det gick inte att hitta ett attribut att ta bort."
"Unable to get the product ID.","Det gick inte att hämta produktid."
"Unassigned Attributes","Otilldelade attribut"
"Unknown EAV indexer type ""%s"".","Unknown EAV indexer type ""%s""."
"Unknown attribute: %s.","Okänt attribut: %s."
"Unsupported product type ""%s"".","Produkttyp som inte stöds ""%s""."
"Up-sells","Merförsäljning"
"Update","Uppdatera"
"Update Attributes","Uppdatera attribut"
"Update Tier Price","Uppdatera pris för mängdrabatt"
"Update assigned product","Uppdatera tilldelad produkt"
"Update attribute","Uppdatera attribut"
"Update attributes","Uppdatera attribut"
"Update category","Uppdatera kategori"
"Update custom option of product","Uppdatera anpassat alternativ för produkt"
"Update product","Uppdatera produkt"
"Update product image","Uppdatera produktbild"
"Update product link","Uppdatera produktlänk"
"Update product tier prices","Uppdatera mängdrabattspriser för produkt"
"Update value of custom option","Uppdatera värde till anpassat alternativ"
"Upload new product image ","Ladda upp ny produktbild"
"Use Canonical Link Meta Tag For Categories","Använd Canonical meta tag för kategorier"
"Use Canonical Link Meta Tag For Products","Använd Canonical meta tag för produkter"
"Use Categories Path for Product URLs","Använd sökväg till kategorier för produkt URL:er"
"Use Config Settings","Använd konfiguration"
"Use Default Value","Använd förvalt värde"
"Use Flat Catalog Category","Använd 'flat' struktur för kategorier"
"Use Flat Catalog Product","Använd 'flat' struktur för produkter"
"Use In Layered Navigation","Använd i filterbaserad navigering"
"Use In Search Results Layered Navigation","Använd för filterbaserad navigering i sökresultat"
"Use JavaScript Calendar","Använd Javascript kalender"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Använd statiska URL:er för mediainnehåll i Wysiwyg för katalog"
"Use To Create Configurable Product","Använd för att skapa konfigurerbar produkt"
"Use Tree Like Category Sitemap","Använd trädliknande sajtkarta för kategorier"
"Use config","Använd konfiguration"
"Use default","Använd förvalt"
"Use for Promo Rule Conditions","Använd som villkor för prisregler"
"Use four-digit year format.","Använd 4 siffror i årtal."
"Use in Advanced Search","Använd i avancerad sök"
"Use in Layered Navigation","Använd i filterbaserad navigering"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Använd i filterbaserad navigering<br/>(Kan endast användas med indatatyp 'dropdown')"
"Use in Quick Search","Använd i snabbsök"
"Used for Sorting in Product Listing","Används för sortering i produktlista"
"Used in Product Listing","Används i produktlista"
"Value for ""%s"" is invalid.","Värde för ""%s"" är ogiltigt."
"Value for ""%s"" is invalid: %s","Värde för ""%s"" är ogiltigt: %s"
"Varchar","Varchar"
"View as","Visa som"
"Virtual Product","Virtuell produkt"
"Visibility","Synlighet"
"Visible","Synlig"
"Visible on Catalog Pages on Front-end","Synlig på katalogsidor i butiken"
"Visible on Product View Page on Front-end","Synlig på produktsida i butiken"
"WYSIWYG Editor","Wysiwyg editor"
"Watermark","Vattenmärke"
"Watermark Default Size","Förvald storlek för vattenmärke"
"Watermark Opacity, Percent","Genomskinlighet för vattenmärke, procent"
"Watermark Position","Position vattenmärke"
"We Also Recommend","Vi rekommenderar också"
"Website","Webbplats"
"Website Item Must be checked","Website Item Must be checked"
"Website Store Must be checked","Website Store Must be checked"
"Websites","Webbplatser"
"What's this?","Vad är detta?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Om alternativet ""Alla"" ska finnas med i ""Visa X per sida""."
"Will make search for the query above return results for this search.","Will make search for the query above return results for this search."
"Wrong BuyRequest instance in options group.","Wrong BuyRequest instance in options group."
"Wrong configuration item instance in options group.","Wrong configuration item instance in options group."
"Wrong configuration item option instance in options group.","Wrong configuration item option instance in options group."
"Wrong option instance type in options group.","Wrong option instance type in options group."
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group.","Wrong product instance type in options group."
"Wrong product type filter specified","Wrong product type filter specified"
"Wrong product type to extract configurable options.","Wrong product type to extract configurable options."
"Year Range","År intervall"
"Yes","Ja"
"You cannot remove system attribute from this set.","Du kan inte ta bort systemattribut från attributmängden."
"You have no items to compare.","Du har inga artiklar att jämföra."
"You may also be interested in the following product(s)","Du kanske även är intresserad av ...?"
"Zoom In","Zooma in"
"Zoom Out","Zooma ut"
"and","och"
"and above","och ovan"
"categories","kategorier"
"each","styck"
"ex. http://domain.com","t ex http://domän.se"
"leave blank if its not an image","lämna tomt om det inte är en bild"
"per page","per sida"
"products","produkter"
"px.","px."
"save","spara"
"select all","markera alla"
"unselect all","avmarkera alla"
"x","x"
