"# of Use","# 使用"
"%1$s incl tax.","%1$s 含稅。"
"%s - %s","%s - %s"
"%s Item(s)","%s 個項目"
"%s and above","%s及以上"
"Special Price:","特價："
"Special Price: %s","特價： %s"
"Starting at:","開始於："
"Static","靜態"
"Static block and products","靜態區塊和產品"
"Static block only","僅靜態區塊"
"Status","狀態"
"Stock Availability","庫存狀況"
"Store","商店"
"Store View","店舖視圖"
"Stretch","拉伸"
"Subscribe to RSS Feed","訂閱到 RSS 源"
"Super product attributes configuration","超級產品屬性配置"
"Synonym For","同義詞"
"System Properties","系統屬性"
"Tag Name","標籤名稱"
"Tax","傳真"
"Template","範本"
"Text","文字"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","平面分類模塊被限制為 %2\$d 個篩選器和/或可排序屬性。目前已經使用了 %1\$d 個。為了使用該模塊，請減少所用篩選器/排序屬性的數量"
"The attribute model is not defined","屬性型號未定義"
"The attribute set has been saved.","屬性集已保存。"
"The base directory to upload file is not specified.","文件上傳的基本目錄尚未指定。"
"The category has been deleted.","分類已保存。"
"The category has been saved.","類別已保存。"
"The comparison list was cleared.","比較列表被清空。"
"The file '%s' for '%s' has an invalid extension","文件'%s'的'%s'中有一個無效的擴展"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","文件'%s'的您上傳大於服務器允許兆%s的"
"The file you uploaded is larger than %s Megabytes allowed by server","您上傳的文件大於伺服器所允許的 %s 兆位元組"
"The filters must be an array.","過濾器必須為陣列。"
"The image contents is not valid base64 data.","圖像內容不是有效的 base64 數據。"
"The image is not specified.","圖片未指定。"
"The model collection resource name is not defined.","型號集合資源名稱未定義。"
"The product %s has been added to comparison list.","產品 %s 已被新增至比較列表。"
"The product %s has been removed from comparison list.","產品 %s 已從比較列表中刪除。"
"The product attribute has been deleted.","產品屬性已被刪除。"
"The product attribute has been saved.","產品屬性已保存。"
"The product has been created.","產品已建立。"
"The product has been deleted.","產品已被刪除。"
"The product has been duplicated.","產品已複製。"
"The product has been saved.","產品已保存。"
"The product has required options","產品包含必需的選項"
"The review has been deleted","評論已被刪除"
"The review has been saved.","評論已保存。"
"The review was removed by another user or does not exist.","評論已被另一用戶刪除，或評論不存在。"
"The search was deleted.","搜索被刪除。"
"The text is too long","文本過長"
"There are no %s available.","沒有可用的 %s。"
"There are no customers for this alert","沒有客戶適用於此提醒"
"There are no customers for this alert.","沒有客戶適用於此提醒。"
"There are no products matching the selection.","沒有產品匹配該選擇。"
"There was an error while request processing.","處理請求時發生錯誤。"
"This Attribute no longer exists","該屬性已不存在"
"This attribute cannot be deleted.","該屬性無法被刪除。"
"This attribute cannot be edited.","該屬性無法編輯。"
"This attribute cannot be updated.","該屬性無法更新。"
"This attribute is used in configurable products.","該屬性用於可配置的產品。"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","該屬性用于可配置的產品。您無法從屬性集中將其刪除。"
"This attribute no longer exists","該屬性不存在"
"This attribute set no longer exists.","該屬性已不存在。"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","該群組包含用于可配置產品的屬性。請移動這些屬性到另一群組並重試。"
"This group contains system attributes. Please move system attributes to another group and try again.","該群組包含系統屬性。請移動系統屬性到另一群組並重試。"
"This is a required option","這是必選的選項"
"This product no longer exists.","該產品已不存在。"
"This search no longer exists.","該搜索已不存在。"
"This setting will be applied when all prices in the specific price interval are equal.","此設置將被應用時，在特定的價格區間的所有價格都是平等的。"
"Tier Pricing","價格級別"
"Tile","平鋪"
"Time Format","時間格式"
"Title","標題"
"To reindex the enabled product(s), the store or product must be specified","要對已啟用的產品重新索引，必須指定商店或產品"
"To see product price, add this item to your cart. You can always remove it later.","要查看產品價格，請新增該項目到您的購物車。您總是可以稍後刪除它。"
"Top/Left","頂部/左側"
"Top/Right","頂部/右側"
"Total Qty Base Items","總數量 基礎項目"
"Total incl. Tax: %1$s","含稅總額：%1$s"
"Total of %d record(s) have been deleted.","總共%d記錄已被刪除。"
"Total of %d record(s) have been updated.","總共%d記錄已被更新。"
"Total of %d record(s) were updated","%d的記錄（S）共更新"
"Type","類型"
"URL Rewrite Management","URL重寫管理"
"Unable to complete this request.","無法完成該請求。"
"Unable to find a search term to delete.","無法找到搜索詞來刪除。"
"Unable to find an attribute to delete.","無法找到要刪除的屬性。"
"Unable to get the product ID.","無法獲得產品 ID。"
"Unassigned Attributes","未分配的屬性"
"Unknown EAV indexer type ""%s"".","未知EAV的索引類型""%s""。"
"Unknown attribute: %s.","未知屬性：%s。"
"Unsupported product type ""%s"".","不支持的產品類型""%s""。"
"Up-sells","超售"
"Update","更新"
"Update Attributes","更新屬性"
"Update Tier Price","更新層級價格"
"Update assigned product","更新分配的產品"
"Update attribute","更新屬性"
"Update attributes","更新屬性"
"Update category","更新類別"
"Update custom option of product","更新產品的自定選項"
"Update product","更新產品"
"Update product image","更新產品圖像"
"Update product link","更新產品連結"
"Update product tier prices","更新產品價格級別"
"Update value of custom option","更新自定選項值"
"Upload new product image ","上傳新產品圖片"
"Use Canonical Link Meta Tag For Categories","類別使用規範連結 Meta 標籤"
"Use Canonical Link Meta Tag For Products","為產品使用標準的連結元數據標籤"
"Use Categories Path for Product URLs","產品 URL 使用分類路徑"
"Use Config Settings","使用預設值"
"Use Default Value","使用預設值"
"Use Flat Catalog Category","使用平面目錄產品分類"
"Use Flat Catalog Product","使用平面目錄產品"
"Use In Layered Navigation","使用分層導航"
"Use In Search Results Layered Navigation","使用搜索結果內層次導航"
"Use JavaScript Calendar","使用 JavaScript 日曆"
"Use Static URLs for Media Content in WYSIWYG for Catalog","為分類的所見即所得編輯中的媒體內容使用靜態URL"
"Use To Create Configurable Product","用于建立可配置的產品"
"Use Tree Like Category Sitemap","使用樹形分類站點地圖"
"Use config","用戶配置"
"Use default","使用預設"
"Use for Promo Rule Conditions","使用促銷規則條件"
"Use four-digit year format.","使用四位年份格式。"
"Use in Advanced Search","使用進階搜索"
"Use in Layered Navigation","用在層次式導航中"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","使用分層導航<br>（僅在分類輸入類型為""下拉""時使用）"
"Use in Quick Search","使用快速搜索"
"Used for Sorting in Product Listing","在產品列表中使用排序"
"Used in Product Listing","用于產品清單"
"Value for ""%s"" is invalid.","""%s""的值是無效的。"
"Value for ""%s"" is invalid: %s","""%s""的值是無效的：%s"
"Varchar","可變長字符串"
"View as","查看為"
"Virtual Product","虛擬產品"
"Visibility","可見性"
"Visible","可見"
"Visible on Catalog Pages on Front-end","前端分類頁面的可見性"
"Visible on Product View Page on Front-end","在前端產品視圖頁面可見"
"WYSIWYG Editor","所見即所得編輯器"
"Watermark","水印"
"Watermark Default Size","水印預設大小"
"Watermark Opacity, Percent","水印不透明度，百分比"
"Watermark Position","水印位置"
"We Also Recommend","我們還建議"
"Website","網站"
"Websites","網站"
"What's this?","這是什麼？"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","是否顯示""全部""選項在""顯示X/頁""下拉選項。"
"Will make search for the query above return results for this search.","將上述此搜索返回結果的查詢搜索。"
"Wrong BuyRequest instance in options group.","選項組中錯誤的購買請求實例。"
"Wrong configuration item instance in options group.","選項組中錯誤的配置項目實例。"
"Wrong configuration item option instance in options group.","選項組中存在錯誤配置項目選項的實例。"
"Wrong option instance type in options group.","選項組中錯誤的選項實例類型。"
"Wrong option type to get group instance.","錯誤的選項類型來獲得群組實例。"
"Wrong product instance type in options group.","選項組中錯誤的產品實例類型。"
"Wrong product type filter specified","錯誤的已指定產品類型過濾器"
"Wrong product type to extract configurable options.","錯誤的產品類型來提取可配置選項。"
"Year Range","年份範圍"
"Yes","是"
"You cannot remove system attribute from this set.","您無法從此集合中移除系統屬性。"
"You have no items to compare.","您沒有可比較的項目。"
"You may also be interested in the following product(s)","您還可能對下列產品感興趣"
"Zoom In","放大"
"Zoom Out","縮小"
"and","和"
"and above","及以上"
"categories","類別"
"each","每個"
"ex. http://domain.com","例如 http://domain.com"
"leave blank if its not an image","如果非圖片請留空"
"per page","每頁"
"products","產品"
"px.","像素"
"save","保存"
"select all","全選"
"unselect all","撤銷全選"
"x","x"
