"-OR-","-Oppure-"
"Sandbox Mode","Modalità Sandbox"
"Schedule","Programma"
"Schedule description is too long.","La descrizione del programma è troppo lunga."
"Scheduled Fetching","Recupero programmato"
"Select a Payment Solution","Seleziona una soluzione di pagamento"
"Send Email Confirmation","Invia Email di conferma"
"Server Error. Please try again.","Errore del server. Riprovare."
"Settlement Consolidation","Consolidamento Accordo"
"Settlement Report Settings","Impostazioni Resoconto Accordo"
"Settlement of a chargeback.","Accordo di chargeback."
"Severe 3D Secure Card Validation","Severe Validation di 3D Secure"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Rimuove Responsabilità Chargeback dal Venditore"
"Severe validation removes chargeback liability on merchant.","Severe validation rimuove responsabilità chargeback dal venditore."
"Shipping","Spedizione"
"Shipping Address","Indirizzo Spedizione"
"Shipping Method","Metodo Spedizione"
"Shop now using (150 X 40)","Compra ora usando (150 X 40)"
"Shop now using (150 X 60)","Compra ora usando (150 X 60)"
"Shortcut","Shortcut"
"Shortcut Buttons Flavor","Gusto Bottone Shortcut"
"Shortcut on Product View","Shortcut per vista Prodotto"
"Shortcut on Shopping Cart","Shortcut per Carrello Spesa"
"Sign a billing agreement to streamline further purchases with PayPal.","Firma un accordo di fatturazione per facilitare futuri acquisti con PayPal."
"Solo","Solo"
"Some PayPal solutions conflict.","Conflitto tra varie soluzioni PayPal."
"Sorry, no quotes are available for this order at this time.","Spiacenti, nessuna quotazione è disponibile per questo ordine al momento."
"Sort Order","Ordina"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specifica cos\'è l\'Authorization Honor Period sull\'account PayPal del commerciante. Deve rispecchiare l\'impostazione di PayPal"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specifica cosa è l\'Order Valid Period nell\'account PayPal del commerciante. Deve rispecchiare l\'mpostazione di PayPal."
"State/Province","Stato/provincia"
"Static","Statico"
"Street Address","Indirizzo"
"Street Address %s","Indirizzo %s"
"Submitting order information...","Invio informazioni ordine..."
"Subscriber name is too long.","Nome del sottoscrittore troppo lungo."
"Subscription ID","ID sottoscrizione"
"Subscription Payment, either payment sent or payment received","Pagamento sottoscrizione, pagamento inviato o ricevuto"
"Subtotal","Sub totale"
"Summary Text for Aggregated Cart","Testo di sommario per carrello aggregato"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Il supporto della carta American Express ricchiede un accordo aggiuntivo. Informati su <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Telephone","Telefono"
"Test Mode","Modalità Test"
"The background color for the checkout page around the header and payment form.","Il colore di sfondo per la pagina di acquisto attorno all\'intestazione e modulo di pagamento."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Il colore di sfondo per l\'intestazione della pagina di acquisto. Case-insensitive  HTML a sei caratteri codice colore esadecimale in ASCII."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Il numero di default delle autorizzazioni figlie nel tuo account PayPal è 1. Per avere autorizzazioni multiple contatta PayPal per un incremento"
"The following error(s) occured:","Sono stati riscontrati i seguenti errori:"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","L\'immagine in alto a sinistra della pagina di acquisto. Dimensione massima 750x90-pixel. <strong style=""color:red"">https</strong> è vivamente consigliata."
"The maximum number of child authorizations is reached.","Il numero massimo di autorizzazioni figlie è stato raggiunto."
"The merchant account is not yet verified.","L\'.account del Venditore non è ancora verificato"
"The payment curency does not match any of the merchant\'s balances currency.","La valuta di pagamento non corrisponde a nessuna delle valute di bilancio del Venditore."
"The payment eCheck is not yet cleared.","L\' eCheck del pagamento non è ancora ultimato."
"The payment is authorized but not settled.","Il pagamento è autorizzato ma non effettuato."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Il pagamento è in attesa perchè effettuato ad un indirizzo email non ancora registrato o confermato."
"The payment is pending while it is being reviewed by PayPal for risk.","Il pagamento è in attesa di verifica rischio da parte di PayPal."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Il pagamento è stato effettuato con carta di credito. Per ricevere I fondi, il venditore deve aggiornare l\'account ad uno stato Business o Premier."
"There is already another PayPal solution enabled. Enable this solution instead?","C'è un altra soluzione PayPal attiva. Attivare invece questa soluzione?"
"There was an error processing your order. Please contact us or try again later.","Si è verificato un errore elaborando il tuo ordine. Si prega di contattarci o provare più tardi.."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Questa funzionalità necessita di essere abilitata prima dall\'account del venditore attraverso il supporto tecnico di PayPal."
"This operation requires an existing transaction object.","Questa operazione richiede un oggetto transazione esistente."
"Time of Day","Ora del Giorno"
"Title","Titolo"
"Transaction ID","ID Transazione"
"Transaction ID must not be empty.","ID transazione non può essere vuoto."
"Transaction Information","Informazione Transazione"
"Transaction reversal by PayPal administrators.","Transazione rimborsata dagli amministratori di PayPal"
"Transaction reversal due to fraud detected by PayPal administrators.","Transazione rimborsata dagli amministratori di PayPal per sospetta frode."
"Transfer Cart Line Items","Trasferimento oggetti Cart Line"
"Transfer Shipping Options","Trasferimento opzioni spedizione"
"Triggered Fraud Filters","Filtro Frodi Attivato"
"URL method for Cancel URL and Return URL","Metodo URL per Cancellare URL e Restituire URL"
"Unable to cancel Express Checkout.","Impossibile annullare Acquisto Rapido"
"Unable to change status. Current status is not correspond to real status.","Impossibile modificare lo stato. Lo stato attuale non corrisponde a quello reale."
"Unable to communicate with the PayPal gateway.","Impossibile comunicare con il gateway PayPal ."
"Unable to initialize Express Checkout review.","Impossibile inizializzare la revisione dell\' Acquisto Rapido."
"Unable to initialize Express Checkout.","Impossibile inizializzare Acquisto Rapido"
"Unable to place the order.","Impossibile effettuare l\'ordine"
"Unable to process Express Checkout approval.","Impossibile elaborare approvazione per Acquisto Rapido."
"Unable to start Express Checkout.","Impossibile iniziare Acquisto Rapido."
"Unable to update Order data.","Impossibile aggiornare i dati dell\'ordine."
"Unable to update shipping method.","Impossibile aggiornare Metodo di Spedizione."
"Unknown Error. Please try again later.","Errore sconosciuto. Riprovare più tardi."
"Unknown reason. Please contact PayPal customer service.","Motivo sconosciuto. Si prega di contattare il servizio clienti PayPal."
"Update Order Data","Aggiorna i dati dell\'ordine"
"Use Proxy","Usa Proxy"
"Use colon to specify port. For example: ""test.example.com:5224"".","Usa I due punti per specificare la porta. Per esempio: ""test.esempio.com:5224""."
"User","Utente"
"User-initiated Currency Conversion","Conversione valuta inizializzata dall\'utente"
"Uses store frontend name by default.","Usa il nome del frontend del negozio come predefinito."
"VAT Number","Numero di partita IVA"
"Vendor","Venditore"
"View","Vedi"
"View Demo","Vedi Demo"
"View Transaction","Vedi Transazione"
"View Transaction Details","Vedi dettagli Transazione"
"Virtual PayPal Debit Card Transaction","Transazione PayPal Virtuale con Carta di Debito"
"Virtual Terminal Payment","Pagamento Terminale Virtuale"
"Void","Vuoto"
"Waiting until Customer\'s eCheck will be cleared.","Waiting until Customer\'s eCheck will be cleared."
"We prefer PayPal (150 X 40)","Preferiamo PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Preferiamo PayPal (150 X 60)"
"Website Payments Plus","Sito Pagamenti Plus"
"Website Payments Pro (Includes Express Checkout)","Sito Pagamenti Pro (Inclusi Express Checkout)"
"Website Payments Pro Hosted Solution","Sito Pagamenti Pro Hosted Solution"
"Website Payments Pro Hosted Solution (Includes Express Checkout)","Sito Pagamenti Pro Hosted Solution (Inclusi Express Checkout)"
"Website Payments Pro Hosted Solution and Express Checkout","Sito Pagamenti Pro Hosted Solution e Express Checkout"
"Website Payments Pro Payflow Edition (Includes Express Checkout)","Sito Pagamenti Pro Payflow Edition (Inclusi Express Checkout)"
"Website Payments Pro Payflow Edition and Express Checkout","Sito Pagamenti Pro Payflow Edition e Express Checkout"
"Website Payments Pro and Express Checkout","Sito Pagamenti Pro e Express Checkout"
"Website Payments Standard","Sito Pagamenti Standard"
"Website Payments Standard Payment","Sito Pagamenti Standard pagamento"
"What is PayPal?","Cos'è PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Se creare un accordo di fatturazione, in caso non ce ne fossero disponibili."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Apparirà come opzione di pagamento solo per clienti che hanno almeno un accordo di fatturazione attivo."
"WorldLink Withdrawal","Prelievo WorldLink"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Vuole sottoscrivere un accordo di fatturazione per agevolare acquisti futuri con PayPal?"
"Wrong Order ID (%s) specified.","Wrong Order ID (%s) specified."
"Wrong PayPal Express Checkout Token specified.","PayPal Express Checkout Token specificato errato"
"Yes","Si"
"Yes. Matched Address and five-didgit ZIP","Si. Indirizzo e codice ZIP a cinque cifre corrispondono."
"You cannot void a verification transaction","Non puoi annullare la verifica di una transazione"
"You will be redirected to the PayPal website in a few seconds.","Sarai reindirizzato al sito PayPal in pochi secondi."
"You will be redirected to the PayPal website when you place an order.","Sarai reindirizzato al sito PayPal quando sarà effettuato l'ordine"
"You will be redirected to the PayPal website.","Sarai reindirizzato al sito PayPal."
"You will be required to enter your payment details after you place an order.","Ti sarà richiesto di inserire I dettagli di pagamento dopo aver effettuato l\'ordine."
"Zip/Postal Code","Zip/CAP"
"chargeback reimbursed","chargeback reimbursed"
"chargeback settled","chargeback settled"
"customer complaint","customer complaint"
"customer triggered a chargeback","customer triggered a chargeback"
"customer triggered money-back guarantee","customer triggered money-back guarantee"
"eBay Auction Payment","Pagamento eBay Auction"
"merchant refunded payment","merchant refunded payment"
"no reason","no reason"
"reversal of an adjustment","reversal of an adjustment"
"unknown reason","ragione sconosciuta"
